ts,x direction pos,y direction pos,z direction pos, x origin, y origin, z origin, viewedObjects
2020-09-15T14:06:01.7980653Z,-0.2849357,0,-0.9585466,230.09,-183.336,276.457,PictureFrame
2020-09-15T14:06:02.0109944Z,-0.2849357,0,-0.9585466,230.09,-183.336,276.457,PictureFrame
2020-09-15T14:06:03.3175692Z,-0.4987826,-0.1505976,0.8535433,230.0419,-183.3316,276.6831,rack_1
2020-09-15T14:06:03.3505583Z,-0.662837,-0.1515904,0.733258,229.9966,-183.3312,276.6679,rack_1
2020-09-15T14:06:03.3875462Z,-0.8793386,-0.1515711,0.4514309,229.9281,-183.3307,276.6204,Wall (2)
2020-09-15T14:06:03.4225348Z,-0.9479103,-0.1529326,0.2794236,229.9004,-183.3302,276.5859,Wall (2)
2020-09-15T14:06:03.4595238Z,-0.8723916,-0.1535581,-0.4640613,229.8652,-183.3298,276.4147,Quad (1)
2020-09-15T14:06:03.4895133Z,-0.6151342,-0.1543605,-0.7731641,229.9008,-183.3297,276.3289,Quad (2)
2020-09-15T14:06:03.5255055Z,-0.3471284,-0.1555772,-0.924823,229.9497,-183.3297,276.2767,Office-Wall behind
2020-09-15T14:06:03.5614902Z,-0.06546459,-0.1550766,-0.985731,230.01,-183.3297,276.243,Monitor
2020-09-15T14:06:03.5994775Z,0.1717414,-0.1574872,-0.9724725,230.0651,-183.3298,276.2297,Quad (1)
2020-09-15T14:06:03.6344671Z,0.2327071,-0.1617138,-0.9590079,230.0814,-183.33,276.2282,Quad (1)
2020-09-15T14:06:03.6670372Z,0.2254652,-0.1619206,-0.9607014,230.0811,-183.3301,276.228,Quad (1)
2020-09-15T14:06:03.6970278Z,0.2211646,-0.1617871,-0.9617231,230.0808,-183.3303,276.2277,Quad (1)
2020-09-15T14:06:03.7330158Z,0.216471,-0.160189,-0.9630575,230.0805,-183.3304,276.2274,Quad (1)
2020-09-15T14:06:03.7690040Z,0.2121962,-0.1579825,-0.9643725,230.0804,-183.3306,276.2271,Quad (1)
2020-09-15T14:06:03.8069920Z,0.2105102,-0.1571692,-0.9648748,230.0801,-183.3307,276.227,Quad (1)
2020-09-15T14:06:03.8449793Z,0.2087003,-0.1566345,-0.9653547,230.0797,-183.3306,276.2271,Quad (1)
2020-09-15T14:06:03.8799683Z,0.206924,-0.157055,-0.9656689,230.0795,-183.3306,276.2271,Quad (1)
2020-09-15T14:06:03.9149563Z,0.1352501,-0.157373,-0.9782338,230.0628,-183.3306,276.2285,Quad (1)
2020-09-15T14:06:03.9519448Z,-0.09113619,-0.1590763,-0.9830508,230.0117,-183.3306,276.2405,Monitor
2020-09-15T14:06:03.9959316Z,-0.2761231,-0.1601837,-0.9476799,229.9724,-183.3307,276.259,Desk
2020-09-15T14:06:04.0379161Z,-0.4528495,-0.1411127,-0.880349,229.9494,-183.3308,276.2743,FileCabinet
2020-09-15T14:06:04.0694160Z,-0.5028899,-0.1347393,-0.8537839,229.9402,-183.3308,276.2815,WhiteboardWall
2020-09-15T14:06:04.1054038Z,-0.4911169,-0.1293274,-0.8614398,229.9397,-183.3308,276.2818,WhiteboardWall
2020-09-15T14:06:04.1393927Z,-0.4769119,-0.1273744,-0.8696728,229.9394,-183.3308,276.2821,WhiteboardWall
2020-09-15T14:06:04.1723833Z,-0.468353,-0.1222873,-0.8750378,229.9394,-183.3307,276.2823,WhiteboardWall
2020-09-15T14:06:04.2093727Z,-0.4642798,-0.1210128,-0.8773826,229.9395,-183.3306,276.2823,WhiteboardWall
2020-09-15T14:06:04.2403608Z,-0.460898,-0.1202806,-0.8792642,229.9398,-183.3306,276.2822,WhiteboardWall
2020-09-15T14:06:04.2773489Z,-0.4593365,-0.1229693,-0.8797093,229.9404,-183.3304,276.282,WhiteboardWall
2020-09-15T14:06:04.3123370Z,-0.4545547,-0.1228474,-0.8822066,229.9409,-183.3303,276.2819,FileCabinet
