ts,x direction pos,y direction pos,z direction pos, x origin, y origin, z origin, viewedObjects
2020-09-15T14:18:21.7878267Z,-0.2849357,0,-0.9585466,230.09,-183.336,276.457,PictureFrame
2020-09-15T14:18:21.9917607Z,-0.2849357,0,-0.9585466,230.09,-183.336,276.457,PictureFrame
2020-09-15T14:18:24.2494057Z,0.7802839,0.1179349,-0.6142056,230.2426,-183.2997,276.4415,Quad (1)
2020-09-15T14:18:24.2833948Z,0.701524,0.1111248,-0.7039286,230.2402,-183.3,276.4223,Quad (1)
2020-09-15T14:18:24.3163834Z,0.6422994,0.1049498,-0.7592345,230.2373,-183.3004,276.4093,Quad (1)
2020-09-15T14:18:24.3503720Z,0.5556149,0.09966756,-0.8254443,230.2313,-183.3006,276.3927,Quad (1)
2020-09-15T14:18:24.3873607Z,0.490227,0.09463401,-0.8664421,230.2258,-183.3009,276.3813,Quad (1)
2020-09-15T14:18:24.4223488Z,0.4853148,0.0904526,-0.8696482,230.2253,-183.3012,276.3799,Quad (1)
2020-09-15T14:18:24.4598434Z,0.4822953,0.08813807,-0.8715636,230.2249,-183.3013,276.3792,Quad (1)
2020-09-15T14:18:24.4928320Z,0.4804837,0.08776504,-0.872601,230.2245,-183.3014,276.379,Quad (1)
2020-09-15T14:18:24.5218227Z,0.4796953,0.08662964,-0.8731482,230.2241,-183.3014,276.3785,Quad (1)
2020-09-15T14:18:24.5488137Z,0.4806649,0.08558694,-0.8727177,230.2239,-183.3015,276.3782,Quad (1)
2020-09-15T14:18:24.5788042Z,0.4835771,0.08474096,-0.8711901,230.2238,-183.3016,276.3779,Quad (1)
2020-09-15T14:18:24.6097954Z,0.4870471,0.08013237,-0.8696918,230.224,-183.3019,276.377,Quad (1)
2020-09-15T14:18:24.6367856Z,0.4898752,0.07022605,-0.8689595,230.2243,-183.3025,276.375,Quad (1)
2020-09-15T14:18:24.6797712Z,0.4908542,0.05764686,-0.8693326,230.2244,-183.3033,276.3724,Quad (1)
2020-09-15T14:18:24.7087619Z,0.4906701,0.03160342,-0.8707722,230.2244,-183.305,276.3669,Quad (1)
2020-09-15T14:18:24.7437502Z,0.4867987,0.01059505,-0.87345,230.2247,-183.3065,276.3628,Quad (1)
2020-09-15T14:18:24.7787393Z,0.4813755,-0.01028904,-0.8764541,230.2247,-183.3081,276.3586,Quad (1)
2020-09-15T14:18:24.8087294Z,0.4747967,-0.03093922,-0.8795515,230.2248,-183.3098,276.3546,Quad (1)
2020-09-15T14:18:24.8377202Z,0.4688847,-0.04163452,-0.8822776,230.2251,-183.3106,276.3528,Quad (1)
2020-09-15T14:18:24.8706598Z,0.4601672,-0.04934205,-0.8864601,230.2262,-183.3111,276.352,Quad (1)
2020-09-15T14:18:24.9066474Z,0.4568707,-0.04852069,-0.8882088,230.2281,-183.3107,276.3532,Quad (1)
2020-09-15T14:18:24.9396359Z,0.4481044,-0.06270177,-0.8917796,230.2283,-183.3119,276.3507,Quad (1)
2020-09-15T14:18:24.9746243Z,0.4421421,-0.07538291,-0.8937716,230.2273,-183.3131,276.3478,Quad (1)
2020-09-15T14:18:25.0086138Z,0.4489373,-0.07980616,-0.8899922,230.228,-183.3135,276.3472,Quad (1)
2020-09-15T14:18:25.0406036Z,0.4618446,-0.09115238,-0.8822646,230.2305,-183.3144,276.3459,Quad (1)
2020-09-15T14:18:25.0785909Z,0.4636027,-0.101055,-0.8802615,230.2316,-183.3152,276.3445,Quad (1)
2020-09-15T14:18:25.1125800Z,0.4653343,-0.1174115,-0.8773132,230.2344,-183.3166,276.3427,Quad (1)
2020-09-15T14:18:25.1465687Z,0.4621943,-0.1117806,-0.8797053,230.2355,-183.3159,276.3444,Quad (1)
2020-09-15T14:18:25.1755595Z,0.4585302,-0.08427931,-0.8846734,230.2336,-183.3134,276.3489,Quad (1)
2020-09-15T14:18:25.2055496Z,0.4500332,-0.06221147,-0.8908422,230.2327,-183.3115,276.353,Quad (1)
2020-09-15T14:18:25.2395383Z,0.4385533,-0.02475797,-0.8983642,230.2315,-183.3084,276.36,Quad (1)
2020-09-15T14:18:25.2725272Z,0.4292081,0.04480341,-0.9020938,230.2275,-183.3037,276.3721,Quad (1)
2020-09-15T14:18:25.3005183Z,0.4160636,0.1145067,-0.9020972,230.2216,-183.2999,276.3837,Quad (1)
2020-09-15T14:18:25.3285092Z,0.3897775,0.1272975,-0.9120685,230.2162,-183.2994,276.3841,Quad (1)
2020-09-15T14:18:25.3634077Z,0.3683888,0.1150688,-0.9225231,230.2129,-183.3002,276.3805,Quad (1)
2020-09-15T14:18:25.3934003Z,0.3557883,0.1174915,-0.9271518,230.2104,-183.3002,276.3802,Quad (1)
2020-09-15T14:18:25.4263889Z,0.3508712,0.1360859,-0.9264827,230.2103,-183.2993,276.3839,Quad (1)
2020-09-15T14:18:25.4563779Z,0.3539844,0.1599167,-0.921478,230.2102,-183.2982,276.3887,Quad (1)
2020-09-15T14:18:25.4893677Z,0.3604293,0.1867394,-0.9139032,230.2097,-183.2971,276.3939,Quad (1)
2020-09-15T14:18:25.5193572Z,0.3684524,0.2083365,-0.9060015,230.2087,-183.2964,276.3979,Quad (1)
2020-09-15T14:18:25.6133267Z,0.374307,0.2257553,-0.8994047,230.2082,-183.2959,276.4013,Quad (1)
2020-09-15T14:18:25.6443159Z,0.3827952,0.2385185,-0.8925114,230.2063,-183.2957,276.403,Quad (1)
